document_id,cleaned_text,sentiment
11,film awfulth stori ridicul waysfirstli hope mother quantum realm never told husband entir univ speci live complex environmentssecondli ant happen follow quantum univ differ stream therefor etern develop becom super intelligentthirdli hell modox second rate charact suddenli appear quantum realm headfin cgi great lose excit entir film think watch entir film film one room green screen noth reali watch film week batch minut bore never bore film watch everyth film boringhonestli need mcu hit rewatch one aveng film,positive
12,likesth graphicsworld design marvel realli great budget creat world imagin instal continu make happenlavish color odd beast world strang world tri make thought layeringgreat cultur comic book sen atmosph new world lot foundat may build futurefeel like strong mash star war marvel battlestar pinch movi help spice thing well nice refer indeedth comedi time comedi awesom often thank write paul rudd make line come lifeth snarki humor sarcasm work well truli laugh bunch antman make work level funther plenti aggress line peopl enjoy sever fill cur caution work balanc time rightand run gag add littl spice mix well awesom say leastover comedi work limit mention later sectionth action time action moment show marvel still make good fightchoreographi flavor power fun use awesom design come pretti wellsev moment impress strategi behind surpri stunt peopl moveand music visual support help make everyth come life movi magic love filmsthrow emot moment work add bite edg sever come moment antman realli help add littl sauc factor mani come movi forth charact develop time kang lead film much took one moment amplifi well get lot time flourish total agr worth ita scott janet get surpri level love moment realli help amplifi seem somewhat forgett joke movi realli bring forefront hero wantth act marvel often load dud cant say surpri see strong hand play filmid say everyon hit mark limit room ill stick three top list go thererudd hilari hand solid balanc comedi emot bravado establish theme movi often stray overact natur deliveri keep entertain drama checklilli fine time screen cant say hope punch influenc past seem littl laid back lacklust final pick degr ive seen filmsmajor though wow major kill role man know articul movement add element speech craft role well kang layer villain major destroy way incorpor much one man fantast abil muchdislikesth pace fast normal good thing end youll see might bit badquantumania realli lot thing launch everyth flesh thought detail phase abl partit great see much yet move tad fast realli get everyth commitmentperhap tri launch much tone back sever part could consist strong bite climact moment hadthough bladder happi think one need slow bit opinionth charact develop bland time pace develop felt bit simplifi lackinghop get littl term truli worthwhil invest hank come truli amaz lost secondari charact statussev new member inconsist bite though shine moment sadli speed like charact storiesthu blander moment arent worst given magic aveng civil war guess expect talemani element feel simplifi lot potenti movi yet fulli achiev itsom level ye champion aspect wish got time smoother transitionsand yet thing felt water sever cultur tribe relationship new charact abil dig thing come even sever element explor lostal build time sometim flop left bare bone cgrade mean tell taleth comedi forc sometim plenti good laugh admit chuckl bunch especi adult jokesbut rob balanc sometim comedi tri hard funni trip momentum hada run gag punch sometim flop time stop joke action scene time joke go far lost edg meim say reach level thor also say sometim edg need win stay joke left behindth action could moment action fire best ive seen whilebut doesnt mean approach level film done given buildup guess feel filmsmani action sequenc last le minut tad simplif minim chao could hada bad guy beat least scare mayb run kang earlier flee extent far le trivialand still gotten big battl lot piec due time natur develop know dothu action could opinionth verdict open hand phase heavi truli visionari wonder behold antman third trip screen load bunch thing might like regard movi action comedi edg emot stake absent lot marvel product realli lot good opinion done job set entertain point lot uncov good charact use dab emot focu evolv charact nice foundat come antic comic caper fight help add spice thing like movi mention major realli welcom addit done villain term excit layer yet movi still balanc issu primarili form consist job handl everyth much think lot tri accomplish kind think time le content would help charact usag action full effect like see movi still dont think horribl think perfect open gambl enjoy score areactionadventurecomedi movi over,positive
13,antman rd solo doubl scifi element mcu over humor like rest previou movi cast stellar doesnt realli dive deep kang stori get suffici johnathan major portray excel wish substanc work visual effect definit spotti blue screen overload wish took time blend effect actor thi lead modok concept didnt mind backstop chang wish went practic design over quantumania pretti fun movi set tone phase marvel definit need step storytel start get detail charact concept,neutral
14,wonder creativ peopl call creativ busi craft afraid ai doubt distant futur ai work cheaper better human least antman wasp quantumania movi book comic whatev quantiti beat qualiti day field best human mind come first antman movi nice one second one okay take away final comput gener visual effect mayb enough stori left third chapter employ two mayb three half brain cell viewer rest neural network goe quickli stand sleep mode like product scene reason one crash total end best mediocr sometim even realli bad,positive
15,convinc marvel movi written chatgpt kang somehow destroy multipl version aveng timelin get defeat armi ant know come back cannot one find ridicul thi peopl get burnt mcu movi integr cater mindlesss fan watch everi singl piec medium marvel dish sorri sorri actual excit movi movi riddl witti snarki humor take away prece stori dont mind humor take feel place take immer everi marvel movi feel like snl skit nowaday phase doesnt deliv im afraid marvel fall,neutral
16,would like review antman wasp quantumania time dont see dont time talk movi ill review swear basic antman feel like simpl conver coupl confess problem movi would resolv howev happi see isnt tie mcu properti offer resolut end paul rudd likeabl usual filmmak swing fenc visual effect stori come short,neutral
17,quantum mania take mcu deeper quantum realm present u real first tast kang conqueror thano infin war part past timelin upend discoveri multiv hype surround antman wasp seem imposs meet weight put multiv mad crack pressur expect unfortun quantummania suffer fate kang intimid power compel muzzl restrain screenplay lack courag risk matter major fantast charact cant wait see develop charact variant howev cant help see miss opportun plant kang like unavoid tree multiv saga feel like marvel prefer put egg basket loki season rather featur filmit bad though contrari film often time charm engag genuin funni fantast set piec inconsist cgi becom new norm marvel late main cast charact solid though cant help feel hope left waysid quantum mania solid entri mcu lack weight memor revolutionari great opportun shock surpri chose play safe miss great potenti,positive
18,over enjoy movi lot spin antman franchi hit feel like contextu vehicl kang conqueror element dont quit work minim didnt leav cinema effect neg way scale big act impress comedi aspect franchi still still aliv work flow fun weird way noth mind blowingsynopsi superhero partner scott lang paul rudd hope van dyne evangelin lilli return continu adventur antman wasp togeth hope parent janet van dyne michel pfeiffer hank pym michael dougla scott daughter cassi lang kathryn newton famili find explor quantum realm interact strang new creatur embark adventur push beyond limit thought possibl,neutral
19,even begin somehow made movi even wor uninterest second antman movi havent uninvest mcu movi sinc thor captain marvel like anoth review said even care anymorefirst first act movi probabl worst first act mcu movi ive seen also artifici made bore uninterest stupidest trope one charact hide someth tell middl movi explan want protect protect angri guy size atom quantum realm tell famili scientist actual danger quantum realm get mad eff protect hate trope much point reason postpon introduc kang show flashback till second actth first act complet bore get littl better interest introduc kang movi get bore uninterest goe anywayth charact arc movi marvel rather writer hire forgotten write script anymor dont even care enough charact arc surpri dont charact new charact eitherrememb first doctor strang movi rememb memor charact arc throughout first movi rememb mcu writer iota idea write movi make audienc actual care charact interest charact rememb actual tri compar second doctor strang movi doesnt even feel like main charact movi imagin someth somehow even wor get moviei dont even know main charact movi scott lang doesnt charact arc movi daughter want help resist peopl reason lang hero appar doesnt care doesnt even chang end thing happen go charact growth nothingthey reason mislead u trailer scott want help kang miss cassi childhood nowher found actual movi know marvel trailer mislead footag stuff arent movi arent usual mislead one funni thing couldv work better whatev clich got actual filmalso kid geniu trope keep see movi whi everi child superhero geniu scientist inventor sudden cant normal child normal live invent multiversebend devic garag even toni stark couldntv madeand speak resist peopl plea show someon actual watch movi care even rememb name writer dont even bare minimum charact wont care peopl upri revolut watch movi wont care dyingthi movi made introduc kang noth el writer dont care charact charact arc even write decent plot theyv got whi even make movi kang introduc loki thi add noth repetit dont even need see movi seen loki somehow loki gave backstori charact next big baddi mcu movi last episod show go figureit obviou saw backlash mediocr reaction phase decid make kang villain movi start phase set next big villain hype peopl fail miser thatmodok design cgi somehow even wor float head thor probabl goofiest worst thing ive seen charact doesnt even place movi design armor show face alright god atroci monstro dont even know think design like even marvel aveng game better design game blandest forgett face design ever reason movi someth connect first antman movi doesnt serv purpo movi even dare think would care himspeak first antman movi movi least knew littl fun movi scott lang reason throwaway villain giant worldend event big baddi antman leagu youv seen aveng earth mightiest hero know aveng combin cant even defeat kang antman wasp daughter save world omnipot god omnipot god robot soldier somehow die paintbal bullet thi tricki villain omnipot make harder audienc believ would dumb prison cell open stick fork control panel robot die punch get defeat end somehowand one biggest reason phase appar phase huge disappoint especi dinsey plu show fact everi one end huge gigant clusterfk end third act two kaiju punch shangchi father son end big fight third act giant dragon moon knight streetlevel superhero end two kaiju punch black widow cgi vomit bad action sky someth etern kaiju fight marvel big battl even fullon war like wakanda forev third act worldend stake everi project doesnt matter big small superhero think pretti much audienc apart marvel fanboy gotten tire formula sinc long time ago dont understand produc writer havent yetthi movi also cgi galor dont think even one real set actor probabl still never met shot separatelyi also rememb said antman couldnt take mask small big enlarg size kong helmet easili like noth differ pressur bodi head larg take helmet even point helmet first place stab one blue enlarg pill get big smalli rambl lot write realiz dont care movi probabl better stop wast time move onal movi big disappoint fail pretti much everyth tri charact charact arc real tension wont care anyth anybodi dont take time develop charact movi full trope clich bad way kang better introduct loki movi cgi action somehow par etern bore uninterest isth midcu continu mid progress get wor write actual decent plot charact villain dont think peopl care anymor next mcu movi gonna apart gotg version kang gonna see next hype excit invest peopl mcu significantli die sinc endgam dont think peopl care come futurei dont even morsel hope theyr gonna xmen blade daredevil fantast four cant even think good stori tell antman wasp throw next big baddi fight probabl ran idea time theyr gonna make xmen,positive
20,let start big expect marvel film like black panther wakanda forev reason wasnt expect much movi plu wasnt big antman fan even begin previou antman movi didnt leav much last impress meh whole seri superhero genreal heard movi come well cour go see open weekend could top game see ruin movi wasnt see realli interest realli anyhow watch movi twice theater day say fall short hope would deliv solid set phase im realli multiv time variant quantum realm make heard hurt think much make mcu timelin even confu begin wasnt quantum realm could care le explor got trap anoth big expan mcu side get revenu see watch movi guess could say got enjoy quantum realm tad bit better fulli appreci bright visual color make quantum come aliv mean beauti world could still care lessthi movi set phase well villain quit amazingli like could agr phase weak im go honest bit unne phase two movi carri whole phase back spiderman way home black panther wakanda forev mention movi relea phase made best impress although doctor strang could make exhaust phase final move hope better phase phase look marveldisney right phase could interest phase sinc phase antman wasp quantumania decent averag movi moment also cringi moment also beginningstartup phase go lie set phase well get introduc exactli menacingmean villain time power variant may make phase villain interest watch see marvel disney unfold intent power affect hell mcu timelin right cour kang interest villian movi play johnathon major actual great job im excit see later marvel film johnathon major potenti mcu marvel disney right may biggest role johnathon play movi career could somewhat downfal depend marvel disney play kangbut antman standalon movi seri farili alright think begin struggl catch attent think first time watch wait kang appear screen kind care le play moment peoplecrit alik rave johnathon major perform cour want see hey actual good job watch think great job movi interest point brought tabl mayb could taken whole thing seri rd act movi didnt go bit hand felt like rd act movi downfal movi got bit hand cringi speech movi didnt help leastth st nd act interest enough favorit moment tri understand villian kang bit easili best part movi outshadow everyon el role movi lie villian never gotten im interest theyr go handl kang might one favorit villian brought big screen charact movi werent main charact like scott hope le unmemor shawdow lot movi basic charact movi didnt big role sidelin peopl underu moviem k wa worst charact movi also one unne struggl comprehenddigest fulli honest could realli care le wasnt annoy charact one made question even movi begin besid charact movi undergo lot underu charact le put shadow realli unfortun didnt get understand peopl quantman realm morebesid question choic movi cringi speech rd act get bit hand charact underu charact need movi bit solid standalon antman movi okay set phase villian great job movi enjoy secondtim understood would want see one im glad saw set phase,positive
21,thi film unspeak badit actual wor etern becau didnt care charact didnt bother much also chloe zhao great director simpli badli chosen kind film scifi superhero entri strong pointin case absolut excu bad like scott lang film especi ensembl one like endgam civil war see travesti strong develop charact one weakest plot ever truli depressingit entir purpo introduc next big bad guy multiv saga kang conquererjohnathan major probabl best thing film realli exud brood menac aggress physic iti activ despi cassi lang film charact annoy shallow ridicul badli written act thi third time almost year young charact special abil technolog whose sole purpo move plot forward inspir younger viewer multiv mad america chavez actual ok could kind get away second time riri william wakanda forev like realli went oh wait delib goal creat mari sue teenag promot activ surfac level inspir brilliant everyth never learn anyth awesom ughalso darren villain first film show modok second villain cassi simpli tell stop dick longer villain want hero dumbest part movi hell thinkingit even worth watch endcredit one alreadi wast two hour watch im glad didnt wast money cinemado bother,positive
22,fun onei terrif time watch antman wasp quantumania despit hear meh thing onlin surpass expect honest great cast entertain action super interest world build favourit mcu regard humour goodstar show opinion michel pfeiffer dont recal stand antman wasp excel begin end elsewh jonathan major brilliant great see guy place recent paul rudd remain strong lead like michael dougla kathryn newton posit toolov quantum realm set im noth like mcu nut im awar film didnt know expect place look fantast enviro creatur shoutout veb like pfeiffer corey stoll didnt realli regist radar prior film k lot funlook person mcu rank goe didnt anticip liter quick glanc averag rate suggest im minor truli found much enjoy quit improv antman bottom afor rank,positive
23,mani point far heyday peak mcu movi anoth remind stori horribl noth memor actor good charact uninspir action special effect still display usual mcu level polish necessarili excit better film critic could probabl point exactli magic movi endgam complet lost fine piec entertain quantumania trick dont expect anyth,positive
24,mcu current state absolut mess endgam whole seri movi felt like lead someth place antman wasp quantumania suppo introduc next big bad aveng face form kang conqueror guess first jonathan major play role well charact seem like total wimp thi suppo one power kang variant yet get trap mayb kill antman wasp without sacrif movi audac sacrif titular charact order stop kang escap quantumv wouldv work better stand movi take risk villain defeat charact arent even power audienc suppo believ guy threat power aveng like thor dr strang hand movi sacrif major charact still wouldnt chang feel fact wouldv mayb wast sacrif antman bland uninterest filmth whole thing feel dull lifeless could concentr go bore found switch variou point throughout scorc compar movi amu park wish wish produc moment would entertain instead feel level morbiu certainli compet pile garbag equal bore whilst watch either top charact make nonsen deci im suppo buy without think much like michel pfeiffer tell anyon kang moreov funni gener im tire quippi inconsequenti dross marvel spew mayb im audienc movi anymor dont go want dislik want feel high infin saga provid dont see happen except way home none movi sinc endgam great best theyv mildli entertain also havent watch mcu show yet im plan dont want marvel major part life much great cinema devot much time someth mediocr highest prai give antman wasp inoffen rel short although felt long also perform major paul rudd good apart cookiecutt husk film look incr artifici design set futur event sell watch current mcu endless trash content,positive
25,im go say great marvel film howev also wont say bad movi either lot good thing film also thing go within could done better definit one fillermovi marvel relea everi nowandthen order tie thing togeth bigger mcu franchi main plotarc mcu problem due problem born mani good posit found mcu past thi problem doesnt appli fan effect gener audienc marvel still need get point dazzl audienc huge blockbust crossov event like aveng end game meantim want take time creat buildup next huge event fan okay gener audienc might bein case antman paul rudd make sen third film trilog center around quantum realm part antman mytho found comic book plu play huge role main mcu stori leav set san francisco first two film took place go complet differ set film quick arriv quantum realm director peyton reed get right plot take u quantum realm within first minut film thi problem develop begin film director reed much territori need cover film plotpoint took away time need revisit main charact wasp total overlook film support charact suffer begin film quick look sloppili forc u order get quantum realmth posit side approach creat whole new differ antman film antman wasp quantumania contain side charact dont get see lot rudd tap bring comedicsid role much like michael keaton batman actor abl sell charact seriou emot superhero fodder also ad comedi splash design charact great perform actor evid rudd first two antman film thi time howev peyton reed decid tap tough brave herosid antman seen aveng end game show u matur emot seriou success liber scott lang headach past gone howev five year gap lost daughter cassi kathryn newton weigh mindwith comedysid scott lang subdu comedi dishedout michael dougla hank pym film parent hope van dyne wasp evangelin lilli play big role film depict hank janet michel pfeiffer standout janet tough hank still cool origin antman wasp film new charact thought pretti good like veb voic david dastmalchian slime creatur ob hole quaz william jackson harper read mind cool robotcreatur whole head energyblast cant find name speak part howev new charact seem slightli dull payoff well perform jonathan major kang conqueror hi part film explain well gener audienc satisfi fan see answer look sinc end season one loki thi film goingthroughthemot bigger pictur dull certain moment howev effect end payton reed trilog im sure eventu time goe film slip lower level mcu rank set mani interest scenario new question thing come c mygrad imdb,positive
26,huge fan first one almost big fan second one decid go see one dx motion sensori seat let sure sit nicest seat best visual motion sensori experi great felt like watch looney tune stori instead type stori part compliment mcu timelin thi liter one marvel dullest unnecessari movi date entir stori clich predict cgi type interest stori let alon one substanc even normal awesom hilari humor previou instal absent one almost entir film take place insid cgi stori need movi set locat greenscreen nonsen gener still enjoy fun ride upgrad seat although money spent wouldv fun amu park,positive
27,entri phase pa without much set next big bad mcu eagerli anticip film given would big screen introduct kang major shine kang rest film even narr choic kang leav bit meh feelinga far posit paul rudd remain endear ever modok tad jar like tiein yellowjacket visual solid color movi major truli magnet presenc screen found dialogu conver compellingfor neg arent realli arc charact antman end liter place sidewalk think good life begin film scott cohort arent given much either mcu hallmark joke undercut seriou moment unfortun continu honestli comedi realli didnt land well first two film also got major rise skywalk vibe clich everyon rebellion show fight space trooper endhowev big issu film end thi movi felt like shouldv major consequ establish kang avengerslevel threat scott hope dispatch portal open save liter second thought might get trap quantum realm kang would escap eyerollinduc council kang scene also almost goofi menacingim hope feig right ship get multiv saga infin saga level hype right im left feel much never thought id say think im current look forward see flash movi reset dcu mcu multiv play,positive
28,well happen mcu run ga last mcu film lacklust best count sort stand alon spiderman way home antman wasp quantumania suppo start phase thing goe like go get wor thi film cour compet made look good horribl complet uninspir like pretti much everyth mce factori sinc endgam total forgett reason mcu success film charact care stake cour lightoment hero root pretti good villain care screen didnt care saw quantumania everi film iron man endgam great mostli least better averag two previou antman film among weakest still memor one act quantumania fine one realli care even paul rudd usual engag seem flat disinterest seem phone notabl perform jonathan major kang conqueror alon cant save film complet snooz fest actual bore fir much filmjust averag mcu churn film film diminish result think kevin feig compani go back see made film good first start get formula forgettablebelow averagegrad c,positive
29,well ill start say wasnt bad movi wasnt great alright like dune star war babi im sure good thingjonathan major definit stole show see lot literallyth cgi rough place edit time could use extra month develop modok atroci executionthat marvel late quantiti qualiti unfortunatelyanoth thing say wish marvel movi would take seriou humor get repetit,positive
30,enjoy watch quantumania mostli solid fairli entertain movi rel mcu standard bit underwhelm feel like throwaway movi someth memor keep come back tomi biggest issu wasnt fulli engag least first half movi enjoy wasnt lock stori unfocuss villain becom preval movi jump level doesnt complet make much weaker first halfth thing surpri mesmer visual creativ didnt notic poor cgi like didnt wow like frequent mayb get spoil visual movi like doctor strang recent avatar still lot good pretti funni doesnt overdo thi second movi row mcu seem dial back insert joke strategi probabl result neg reaction cartoonish thor also love villain wont say case smart crazi like dont watch trailer damn awesomea someon love almost everyth mcu quantumania near bottom mcu rank make littl nervou come two movi thor star still faith join mcu doom gloom crowd phase three favorit entri entir mcu shangchi loki way home dislik two etern thor need consist also play safe view open thursday imax imax,positive
31,marvel realli fallen cant get thi third legaci charact theyv absolut wast fact doctor strang thor antman wast great establish charact superb cast add made kang main villain chump appear marvel plan move forward kiang conqueror kang chumpthi movi add malai poorli written disappoint permeat mcu sinc endgam one worst third act movi recent histori modok use dick turn could dumbest thing ive ever seen even spoiler also end movi ran budget absolut wast,positive
32,visual quit stun delight creativ design shape form storylin le origin without much way intellectu emot ethic depth recent marvel movi appar movi focu accept broad audienc rang includ young peopl quantumania lose sharp refresh focu creat live entiti quantum univ anthropomorph humanba perhap relat child reflect diver origin form life newlif would realli make film stellar even special set design special effect make gorgeou set still room crisp detail immer design work background end mere basic anim project come level expect contemporari marvel product ye movi provid amaz backdrop canva yet substanc plot movi rise level one end movi lot flash le satisfactori bite,neutral
33,new antman bad movi repeat current trend plagu new marvel product main charact excu introduc new charact definit go stori make paul rudd charact le import dont feel stori stori even good feel lack great charact previou movi set tone stori dont even know happen previou movi hard believ director person made two prior movi ad kang definit made kang movi antman,positive
34,liter line film sum mcu becom sinc covid hit world disney jump shark film universescott lang hope van dyne return continu adventur antman wasp togeth hope parent janet hank pym scott daughter cassi lang famili find explor pretti redund quantum realm interact strang new cgi creatur monstro embark adventur push beyond limit boredom thought possiblei love antman first two film differ anyth marvel relea paul rudd amaz titular hero humour marvel humour childish better dare differ payoff someth fresh even marvel behemoth becom littl tire especi debacl age ultron wright wasnt given cold shoulder could watch someth differ dont think blame place reed shoulder studio final say doesnt panach first film hadit bore dull effect meld one like maker taken cantina scene new hope decid make whole movi surround ad suppo bigger adversari thao kang villain major seem home campest bone bodi noth remot sinist charact tell peopl shut make costum slightli tighter add worthless cameo murray earth k marvel film lay bowel mcu along etern love thunder dark worlddougla pfeiffer unforgiv wast dougla someth happen end ant pfeieffer tell stori kang littl support offer asid guy read mind one run joke wear realli thin valkyri wannab thi franchi mcu want succeed rudd brilliant funni role one dimens hero multipli becom even unfunni version himselfit real shame realli shame hey mcu taika touch realli isnt goodi realli low expect rest phase thi go foreverhelp u,positive
